Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Allen Iverson*,10.3,34.4,-0.2,3.2,SG,3.7,0.435,0.713,3.8,4.7,2.1,0.1,3.3,2.3,28.4
Bobby Jackson,13.0,19.5,0.9,0.3,PG,0.6,0.423,0.776,2.1,2.4,0.7,0.1,0.8,1.6,5.1
Jaren Jackson,11.4,15.7,0.8,-0.5,SG,3.8,0.429,0.647,2.2,1.5,0.7,0.1,0.8,1.9,6.3
Jim Jackson,12.2,24.2,-1.8,-0.8,SF,3.8,0.418,0.877,5.0,2.9,0.7,0.1,2.3,2.1,16.7
Mark Jackson,22.1,16.3,-0.4,3.1,PG,2.7,0.45,0.806,3.7,8.0,0.9,0.1,2.1,1.4,8.1
Antawn Jamison,11.8,26.0,-2.8,-1.6,SF,0.2,0.473,0.611,8.3,2.1,0.7,0.3,2.6,2.7,19.6
Avery Johnson,13.2,19.0,-0.1,0.3,PG,0.1,0.477,0.735,1.9,6.0,0.9,0.2,1.7,1.8,11.2
Ervin Johnson,18.7,8.9,0.9,-0.4,C,0.0,0.518,0.605,8.1,0.6,1.0,1.6,1.0,3.7,4.8
Larry Johnson,11.5,17.0,0.4,0.7,PF,2.5,0.469,0.766,5.4,2.5,0.6,0.1,1.3,2.9,10.7
Eddie Jones,10.9,23.4,2.0,4.9,SG,4.7,0.45,0.864,4.8,4.2,2.7,0.7,2.2,2.4,20.1
Shawn Kemp,16.8,30.2,-0.3,-2.1,C,0.1,0.418,0.776,8.8,1.7,1.2,1.2,3.5,4.5,17.8
Jerome Kersey,12.1,14.9,2.9,-0.3,SF,0.1,0.423,0.707,3.1,1.0,0.9,0.7,0.7,2.2,4.5
Jason Kidd*,19.0,20.0,2.0,4.3,PG,2.5,0.427,0.829,7.2,10.1,2.0,0.4,3.4,2.2,14.3
Gerard King,11.8,14.5,-0.1,-0.9,SF,0.0,0.502,0.742,4.0,0.8,0.5,0.2,0.7,2.1,5.3
Kerry Kittles,6.9,19.0,0.0,1.6,SG,3.9,0.456,0.795,3.6,2.3,1.3,0.3,0.9,1.9,13.0
Brevin Knight,19.7,19.7,0.6,0.2,PG,0.2,0.416,0.761,3.0,7.0,1.6,0.3,2.4,2.8,9.3
Toni Kukoč*,14.7,24.9,0.5,2.4,SF,3.0,0.452,0.725,4.9,4.7,1.4,0.5,2.6,2.0,14.8
